t              pw-in-box.fdtd_after_Ex_3_3_5.dat       incid
0.00000000000000000e+00   0.00000000000000000e+00   0.00000000000000000e+00
1.54066656123717649e-11   0.00000000000000000e+00   0.00000000000000000e+00
3.08133312247435298e-11   0.00000000000000000e+00   0.00000000000000000e+00
4.62199968371152915e-11   0.00000000000000000e+00   0.00000000000000000e+00
6.16266624494870596e-11   0.00000000000000000e+00   0.00000000000000000e+00
7.70333280618588278e-11   0.00000000000000000e+00   0.00000000000000000e+00
9.24399936742305830e-11   0.00000000000000000e+00   0.00000000000000000e+00
1.07846659286602351e-10   0.00000000000000000e+00   0.00000000000000000e+00
1.23253324898974119e-10   0.00000000000000000e+00   0.00000000000000000e+00
1.38659990511345887e-10   0.00000000000000000e+00   6.38230415647742278e-44
1.54066656123717656e-10   -5.66530111382074199e-44   3.27891669588293338e-43
1.69473321736089424e-10   -3.52406848359698690e-43   1.66176954990165978e-42
1.84879987348461166e-10   -1.82340049545917454e-42   8.30803839933600843e-42
2.00286652960832934e-10   -9.12906084215582843e-42   4.09791477768888268e-41
2.15693318573204702e-10   -4.50649196415564940e-41   1.99395657699823728e-40
2.31099984185576470e-10   -2.19410660718045387e-40   9.57098425608703492e-40
2.46506649797948239e-10   -1.05342265810853881e-39   4.53244550682647333e-39
2.61913315410320007e-10   -4.98870887403623802e-39   2.11737473130243055e-38
2.77319981022691775e-10   -2.33073792709463180e-38   9.75779786171730819e-38
2.92726646635063543e-10   -1.07429158240277179e-37   4.43648880562111298e-37
3.08133312247435311e-10   -4.88523592748379089e-37   1.98983417512389762e-36
3.23539977859807079e-10   -2.19174644532463419e-36   8.80408326587508315e-36
3.38946643472178847e-10   -9.70108371822422679e-36   3.84311445252580054e-35
3.54353309084550615e-10   -4.23627558234824931e-35   1.65490540807225553e-34
3.69759974696922332e-10   -1.82511185766682717e-34   7.02997165757412139e-34
3.85166640309294100e-10   -7.75750165505701385e-34   2.94621459528341568e-33
4.00573305921665868e-10   -3.25304390293499362e-33   1.21805414746359051e-32
4.15979971534037636e-10   -1.34586135848821943e-32   4.96775438757357175e-32
4.31386637146409404e-10   -5.49338565284745053e-32   1.99886086211012028e-31
4.46793302758781173e-10   -2.21216397596342092e-31   7.93409040264901720e-31
4.62199968371152941e-10   -8.78897270200397555e-31   3.10673182142880563e-30
4.77606633983524761e-10   -3.44501160643148198e-30   1.20015650160162323e-29
4.93013299595896477e-10   -1.33224073176567049e-29   4.57366998143442847e-29
5.08419965208268193e-10   -5.08299583714395725e-29   1.71943009834361279e-28
5.23826630820640013e-10   -1.91333564717873200e-28   6.37720428920446284e-28
5.39233296433011730e-10   -7.10565635381213839e-28   2.33329491284053241e-27
5.54639962045383550e-10   -2.60353833201290345e-27   8.42175091375399769e-27
5.70046627657755266e-10   -9.41154461095886042e-27   2.99888565365781260e-26
5.85453293270127086e-10   -3.35661763092636393e-26   1.05344429136262729e-25
6.00859958882498802e-10   -1.18111330832380178e-25   3.65054216183781398e-25
6.16266624494870622e-10   -4.10035465533779690e-25   1.24803456455553159e-24
6.31673290107242339e-10   -1.40442313308325487e-24   4.20911356922695905e-24
6.47079955719614158e-10   -4.74597595750386223e-24   1.40039146023567157e-23
6.62486621331985875e-10   -1.58232802250860470e-23   4.59653371413965396e-23
6.77893286944357695e-10   -5.20495668485930649e-23   1.48835607304401041e-22
6.93299952556729411e-10   -1.68923985651802116e-22   4.75421313375360045e-22
7.08706618169101231e-10   -5.40894372938056365e-22   1.49820560013108353e-21
7.24113283781472947e-10   -1.70878106257310629e-21   4.65757839872423977e-21
7.39519949393844664e-10   -5.32619291154170029e-21   1.42838391157405558e-20
7.54926615006216484e-10   -1.63794037495274075e-20   4.32164920873568822e-20
7.70333280618588200e-10   -4.96976189437128896e-20   1.28988393543110704e-19
7.85739946230960020e-10   -1.48775977475209680e-19   3.79794228805991702e-19
8.01146611843331736e-10   -4.39425048084005436e-19   1.10322663301003983e-18
8.16553277455703556e-10   -1.28055092168254895e-18   3.16139108380823412e-18
8.31959943068075273e-10   -3.68190138695062135e-18   8.93694079747997897e-18
8.47366608680447093e-10   -1.04449529149333392e-17   2.49239627156097569e-17
8.62773274292818809e-10   -2.92351178209707753e-17   6.85713886155459748e-17
8.78179939905190629e-10   -8.07365572171400780e-17   1.86108628883604102e-16
8.93586605517562345e-10   -2.19988042597010203e-16   4.98318003538520240e-16
9.08993271129934165e-10   -5.91420113770359842e-16   1.31626942858025813e-15
9.24399936742305882e-10   -1.56878719256664821e-15   3.42989833082627607e-15
9.39806602354677598e-10   -4.10582044719402969e-15   8.81725076869962601e-15
9.55213267967049521e-10   -1.06024982900222081e-14   2.23606165872559283e-14
9.70619933579421238e-10   -2.70141509728369888e-14   5.59413693386490684e-14
9.86026599191792954e-10   -6.79120454728519503e-14   1.38069240855196304e-13
1.00143326480416467e-09   -1.68452966442474518e-13   3.36170720799389779e-13
1.01683993041653639e-09   -4.12276981866435359e-13   8.07461915326835185e-13
1.03224659602890831e-09   -9.95579518398011031e-13   1.91336493664929630e-12
1.04765326164128003e-09   -2.37215346189167947e-12   4.47273456671945626e-12
1.06305992725365174e-09   -5.57688113178734106e-12   1.03144983571468469e-11
1.07846659286602346e-09   -1.29365900022148895e-11   2.34658243110646077e-11
1.09387325847839538e-09   -2.96094946698797536e-11   5.26651707311923652e-11
1.10927992409076710e-09   -6.68692142468964777e-11   1.16603418557208285e-10
1.12468658970313882e-09   -1.49005908427398924e-10   2.54689445681777445e-10
1.14009325531551053e-09   -3.27615907072230288e-10   5.48796075600681911e-10
1.15549992092788246e-09   -7.10740833456657234e-10   1.16657204224628384e-09
1.17090658654025417e-09   -1.52138821142916579e-09   2.44637602144819973e-09
1.18631325215262589e-09   -3.21330913900129587e-09   5.06099173260551467e-09
1.20171991776499760e-09   -6.69650610441352149e-09   1.03287782502566235e-08
1.21712658337736953e-09   -1.37696972960447711e-08   2.07956550077780709e-08
1.23253324898974124e-09   -2.79370660860470349e-08   4.13045018473494544e-08
1.24793991460211296e-09   -5.59262650853076750e-08   8.09325924244582583e-08
1.26334658021448468e-09   -1.10465206166265960e-07   1.56444077406310729e-07
1.27875324582685639e-09   -2.15282212255961190e-07   2.98329554569271119e-07
1.29415991143922832e-09   -4.13961952421021349e-07   5.61222480439614271e-07
1.30956657705160003e-09   -7.85374733190057426e-07   1.04155636807347209e-06
1.32497324266397175e-09   -1.47012367440769286e-06   1.90691924052767043e-06
1.34037990827634347e-09   -2.71510018855548241e-06   3.44416361637269972e-06
1.35578657388871539e-09   -4.94726869285712575e-06   6.13682247516029479e-06
1.37119323950108711e-09   -8.89378218615927168e-06   1.07871185564053277e-05
1.38659990511345882e-09   -1.57739639455250851e-05   1.87055119568022872e-05
1.40200657072583054e-09   -2.76006083731961739e-05   3.19993732130114018e-05
1.41741323633820246e-09   -4.76442613717081105e-05   5.40027322253580535e-05
1.43281990195057418e-09   -8.11345051944238236e-05   8.99067983077507179e-05
1.44822656756294589e-09   -1.36298371752881735e-04   1.47664640602204191e-04
1.46363323317531761e-09   -2.25867102217550922e-04   2.39256169035954722e-04
1.47903989878768933e-09   -3.69213749250599515e-04   3.82430546441687590e-04
1.49444656440006125e-09   -5.95317700520181514e-04   6.03043559280463243e-04
1.50985323001243297e-09   -9.46779772486267034e-04   9.38096868080906337e-04
1.52525989562480468e-09   -1.48511384002420962e-03   1.43962614285044442e-03
1.54066656123717640e-09   -2.29752712072235979e-03   2.17950557244857247e-03
1.55607322684954832e-09   -3.50534391517197917e-03   3.25513764507235704e-03
1.57147989246192004e-09   -5.27408173301623182e-03   4.79605311227917271e-03
1.58688655807429176e-09   -7.82500700608529040e-03   6.97114977605841398e-03
1.60229322368666347e-09   -1.14477191499226146e-02   9.99604400612226496e-03
1.61769988929903540e-09   -1.65128709628592149e-02   1.41401934788443675e-02
1.63310655491140711e-09   -2.34837330353276780e-02   1.97327663390319021e-02
1.64851322052377883e-09   -3.29248241215717580e-02   2.71658995964441548e-02
1.66391988613615055e-09   -4.55052102400254829e-02   3.68946868573114192e-02
1.67932655174852247e-09   -6.19938518313651460e-02   4.94320546745823167e-02
1.69473321736089419e-09   -8.32442287937021214e-02   6.53366936355749134e-02
1.71013988297326590e-09   -1.10165404323973121e-01   8.51940793501280713e-02
1.72554654858563762e-09   -1.43677671815374913e-01   1.09588878226687406e-01
1.74095321419800933e-09   -1.84652079158992094e-01   1.39068043683580583e-01
1.75635987981038126e-09   -2.33834486238316902e-01   1.74097329003608525e-01
1.77176654542275297e-09   -2.91757654535020283e-01   2.15011371737412582e-01
1.78717321103512469e-09   -3.58647225867571751e-01   2.61959810493741729e-01
1.80257987664749641e-09   -4.34329479898959481e-01   3.14855954569557228e-01
1.81798654225986833e-09   -5.18151685223812386e-01   3.73330531023486012e-01
1.83339320787224005e-09   -6.08926615946253413e-01   4.36695905511844173e-01
1.84879987348461176e-09   -7.04912224132618892e-01   5.03928386117538207e-01
1.86420653909698348e-09   -8.03836497942386208e-01   5.73670761745688096e-01
1.87961320470935520e-09   -9.02973252997760989e-01   6.44259309062464092e-01
