t              pw-in-box.fdtd_before_Ex_3_3_1.dat       incid
0.00000000000000000e+00   0.00000000000000000e+00   0.00000000000000000e+00
1.54066656123717649e-11   0.00000000000000000e+00   1.88331178072436276e-43
3.08133312247435298e-11   0.00000000000000000e+00   9.58882297134668260e-43
4.62199968371152915e-11   3.70168619931760560e-45   4.81610099743921745e-42
6.16266624494870596e-11   4.53712402686645621e-44   2.38651434859114260e-41
7.70333280618588278e-11   2.94215771659394560e-43   1.16659338526059436e-40
9.24399936742305830e-11   1.61140232820792090e-42   5.62552456092566815e-40
1.07846659286602351e-10   8.19040815277192679e-42   2.67635060962673655e-39
1.23253324898974119e-10   4.00684296432854684e-41   1.25606133825063196e-38
1.38659990511345887e-10   1.91883455245452055e-40   5.81523905207851378e-38
1.54066656123717656e-10   9.05175169018848601e-40   2.65618973169456706e-37
1.69473321736089424e-10   4.21272824846648921e-39   1.19684887663158121e-36
1.84879987348461166e-10   1.93520267363639255e-38   5.31997054142226845e-36
2.00286652960832934e-10   8.77429693529758321e-38   2.33298695435261548e-35
2.15693318573204702e-10   3.92593239249412372e-37   1.00926430709192279e-34
2.31099984185576470e-10   1.73375203452506458e-36   4.30713010321518072e-34
2.46506649797948239e-10   7.55697979826240580e-36   1.81343777101045057e-33
2.61913315410320007e-10   3.25064257978604479e-35   7.53195371287533531e-33
2.77319981022691775e-10   1.38013260156118121e-34   3.08605641788954994e-32
2.92726646635063543e-10   5.78375899522035210e-34   1.24747006832257453e-31
3.08133312247435311e-10   2.39212751205888730e-33   4.97447783419304224e-31
3.23539977859807079e-10   9.76582152195778427e-33   1.95684686205121369e-30
3.38946643472178847e-10   3.93542901494289155e-32   7.59442226050664552e-30
3.54353309084550615e-10   1.56525577446053161e-31   2.90753189405366923e-29
3.69759974696922332e-10   6.14537772938502315e-31   1.09811273180879473e-28
3.85166640309294100e-10   2.38172396145247081e-30   4.09163116352618962e-28
4.00573305921665868e-10   9.11106044848456539e-30   1.50396803011086319e-27
4.15979971534037636e-10   3.44061151895234671e-29   5.45348498218536126e-27
4.31386637146409404e-10   1.28263077526554933e-28   1.95090150862331477e-26
4.46793302758781173e-10   4.71982456504768285e-28   6.88477658097328035e-26
4.62199968371152941e-10   1.71457754281073480e-27   2.39683657917058424e-25
4.77606633983524761e-10   6.14901637792449619e-27   8.23211334448236916e-25
4.93013299595896477e-10   2.17687661866098800e-26   2.78919082642045029e-24
5.08419965208268193e-10   7.60824998602499196e-26   9.32265975905220738e-24
5.23826630820640013e-10   2.62523553769162602e-25   3.07414584927404861e-23
5.39233296433011730e-10   8.94231404497748876e-25   1.00000859932650891e-22
5.54639962045383550e-10   3.00723286717179376e-24   3.20906380954435878e-22
5.70046627657755266e-10   9.98455114725518074e-24   1.01595559192929865e-21
5.85453293270127086e-10   3.27267447307742241e-23   3.17297295862375940e-21
6.00859958882498802e-10   1.05906208044152848e-22   9.77583761559406510e-21
6.16266624494870622e-10   3.38370023934476340e-22   2.97140679304997909e-20
6.31673290107242339e-10   1.06729646959922839e-21   8.90976269190348029e-20
6.47079955719614158e-10   3.32373853685734919e-21   2.63552240821955327e-19
6.62486621331985875e-10   1.02193439088668568e-20   7.69106760173309886e-19
6.77893286944357695e-10   3.10203352839608757e-20   2.21412957372009032e-18
6.93299952556729411e-10   9.29645953201887939e-20   6.28805823481053531e-18
7.08706618169101231e-10   2.75068011997539284e-19   1.76176620715510014e-17
7.24113283781472947e-10   8.03505070728974254e-19   4.86941801781136141e-17
7.39519949393844664e-10   2.31727825937012933e-18   1.32771085227626049e-16
7.54926615006216484e-10   6.59797045692370371e-18   3.57147037596550201e-16
7.70333280618588200e-10   1.85464645515389780e-17   9.47737824553636360e-16
7.85739946230960020e-10   5.14683808663795147e-17   2.48100456220866129e-15
8.01146611843331736e-10   1.41009298954473314e-16   6.40741655312636949e-15
8.16553277455703556e-10   3.81381752425404747e-16   1.63243726061283560e-14
8.31959943068075273e-10   1.01831557434380297e-15   4.10287918364580772e-14
8.47366608680447093e-10   2.68418295238041660e-15   1.01731628238254758e-13
8.62773274292818809e-10   6.98436500689942130e-15   2.48840986328559067e-13
8.78179939905190629e-10   1.79402316139768290e-14   6.00464037673401024e-13
8.93586605517562345e-10   4.54893883456931493e-14   1.42944076155949711e-12
9.08993271129934165e-10   1.13854836160552710e-13   3.35694680160409013e-12
9.24399936742305882e-10   2.81286989640240406e-13   7.77718417436229401e-12
9.39806602354677598e-10   6.85957144110688920e-13   1.77751575490202306e-11
9.55213267967049521e-10   1.65109567142740555e-12   4.00778239839975606e-11
9.70619933579421238e-10   3.92255889200933347e-12   8.91445656384235484e-11
9.86026599191792954e-10   9.19769345770893651e-12   1.95613077319881441e-10
1.00143326480416467e-09   2.12852849897671526e-11   4.23448830796987466e-10
1.01683993041653639e-09   4.86140838225001650e-11   9.04283216752086778e-10
1.03224659602890831e-09   1.09575887317915813e-10   1.90510730284570750e-09
1.04765326164128003e-09   2.43734420994783212e-10   3.95945008467822165e-09
1.06305992725365174e-09   5.35002678964451102e-10   8.11803979213916673e-09
1.07846659286602346e-09   1.15882635427675609e-09   1.64201881159440614e-08
1.09387325847839538e-09   2.47675138695647738e-09   3.27646804326323942e-08
1.10927992409076710e-09   5.22316517781812574e-09   6.44963279191454999e-08
1.12468658970313882e-09   1.08681699403404219e-08   1.25248907004754521e-07
1.14009325531551053e-09   2.23114627053933307e-08   2.39946340306287576e-07
1.15549992092788246e-09   4.51889024035316680e-08   4.53477673554515556e-07
1.17090658654025417e-09   9.02920616784624141e-08   8.45486915513281811e-07
1.18631325215262589e-09   1.77974609737605437e-07   1.55510405628489047e-06
1.20171991776499760e-09   3.46049297042451540e-07   2.82172014602628390e-06
1.21712658337736953e-09   6.63695781061189596e-07   5.05099533323500454e-06
1.23253324898974124e-09   1.25552902576672070e-06   8.91952871088286505e-06
1.24793991460211296e-09   2.34255308042300473e-06   1.55384994130377216e-05
1.26334658021448468e-09   4.31056940596989735e-06   2.67044829407479261e-05
1.27875324582685639e-09   7.82233549509282481e-06   4.52753161098377443e-05
1.29415991143922832e-09   1.39981605150285765e-05   7.57253554328339058e-05
1.30956657705160003e-09   2.47009540845450219e-05   1.24947770034833703e-04
1.32497324266397175e-09   4.29771382124153679e-05   2.03384665022028253e-04
1.34037990827634347e-09   7.37253014815202935e-05   3.26595858406773017e-04
1.35578657388871539e-09   1.24688053265242717e-04   5.17380404071865387e-04
1.37119323950108711e-09   2.07890355550056617e-04   8.08559618209671316e-04
1.38659990511345882e-09   3.41679066716860233e-04   1.24657132815190574e-03
1.40200657072583054e-09   5.53541742321292168e-04   1.89595738536108894e-03
1.41741323633820246e-09   8.83899389664900338e-04   2.84474288970718199e-03
1.43281990195057418e-09   1.39107281087292277e-03   4.21076206889540658e-03
1.44822656756294589e-09   2.15757841851287003e-03   6.14871406705732888e-03
1.46363323317531761e-09   3.29783232887321913e-03   8.85749923350343145e-03
1.47903989878768933e-09   4.96722679775819364e-03   1.25875549210678929e-02
1.49444656440006125e-09   7.37231011766075351e-03   1.76472546820245733e-02
1.50985323001243297e-09   1.07815366861985368e-02   2.44071098670007140e-02
1.52525989562480468e-09   1.55357794987304038e-02   3.33011447315175527e-02
1.54066656123717640e-09   2.20573681610299784e-02   4.48236418258597807e-02
1.55607322684954832e-09   3.08561103309257789e-02   5.95194238590335614e-02
1.57147989246192004e-09   4.25306285385714453e-02   7.79675800512849154e-02
1.58688655807429176e-09   5.77631159785627485e-02   1.00756774197638441e-01
1.60229322368666347e-09   7.73058685548372870e-02   1.28451213370982253e-01
1.61769988929903540e-09   1.01958637538935637e-01   1.61549662443733727e-01
1.63310655491140711e-09   1.32536350280290427e-01   2.00437279888788455e-01
1.64851322052377883e-09   1.69827948403627693e-01   2.45332358137757250e-01
1.66391988613615055e-09   2.14548534674010416e-01   2.96234177372788898e-01
1.67932655174852247e-09   2.67287620088068001e-01   3.52874175010271685e-01
1.69473321736089419e-09   3.28457213568519757e-01   4.14675699031134992e-01
1.71013988297326590e-09   3.98243887700195087e-01   4.80730169967713228e-01
1.72554654858563762e-09   4.76567767857329405e-01   5.49791955720165149e-01
1.74095321419800933e-09   5.63050412320312832e-01   6.20296695328629744e-01
1.75635987981038126e-09   6.56991984870790358e-01   6.90406231291935457e-01
1.77176654542275297e-09   7.57356026883866829e-01   7.58078214993872401e-01
1.78717321103512469e-09   8.62759596029074705e-01   8.21159420047537836e-01
1.80257987664749641e-09   9.71466936068501319e-01   8.77495977136781402e-01
1.81798654225986833e-09   1.08138699028034990e+00   9.25053352856759714e-01
1.83339320787224005e-09   1.19007908460499445e+00   9.62038873434557518e-01
1.84879987348461176e-09   1.29477528558354993e+00   9.87012547431012743e-01
1.86420653909698348e-09   1.39243233734585736e+00   9.98979731037758278e-01
1.87961320470935520e-09   1.47982731527387701e+00   9.97458631211111557e-01
1.89501987032172691e-09   1.55370756458931059e+00   9.82510773315896757e-01
1.91042653593409904e-09   1.61099834468488723e+00   9.54736885593873486e-01
1.92583320154647076e-09   1.64905810323963609e+00   9.15238528627637993e-01
1.94123986715884248e-09   1.66595503579102444e+00   8.65543853207715319e-01
1.95664653277121419e-09   1.66072537256523556e+00   8.07509901701391253e-01
1.97205319838358591e-09   1.63356443913158778e+00   7.43208769821705917e-01
1.98745986399595762e-09   1.58590251717479136e+00   6.74804452945804711e-01
2.00286652960832934e-09   1.52033223512502214e+00   6.04434355191466044e-01
2.01827319522070106e-09   1.44037852045612746e+00   5.34102347723675153e-01
