t              pw-in-box.fdtd_inbox_Ex_3_3_3.dat       incid
0.00000000000000000e+00   0.00000000000000000e+00   0.00000000000000000e+00
1.54066656123717649e-11   0.00000000000000000e+00   0.00000000000000000e+00
3.08133312247435298e-11   0.00000000000000000e+00   0.00000000000000000e+00
4.62199968371152915e-11   0.00000000000000000e+00   0.00000000000000000e+00
6.16266624494870596e-11   0.00000000000000000e+00   0.00000000000000000e+00
7.70333280618588278e-11   9.24278496418889569e-51   1.09716735059314882e-43
9.24399936742305830e-11   6.59052003300937432e-45   5.61140231785761613e-43
1.07846659286602351e-10   5.56103127411025324e-44   2.83110933645421353e-42
1.23253324898974119e-10   3.14226417965440533e-43   1.40914019303419746e-41
1.38659990511345887e-10   1.59315670871954395e-42   6.91933993806178162e-41
1.54066656123717656e-10   7.89922754596027344e-42   3.35168118850911043e-40
1.69473321736089424e-10   3.88050805584435394e-41   1.60166856163276602e-39
1.84879987348461166e-10   1.88290762339696394e-40   7.55083639253673841e-39
2.00286652960832934e-10   9.01124474078650244e-40   3.51160681771856092e-38
2.15693318573204702e-10   4.25370659325173687e-39   1.61112123292909263e-37
2.31099984185576470e-10   1.98089551394649321e-38   7.29226740672894608e-37
2.46506649797948239e-10   9.10100944270151241e-38   3.25601342531513052e-36
2.61913315410320007e-10   4.12534919823563985e-37   1.43423696963601341e-35
2.77319981022691775e-10   1.84492851185077917e-36   6.23257113430825285e-35
2.92726646635063543e-10   8.14023903323457246e-36   2.67179794860595058e-34
3.08133312247435311e-10   3.54353355695818408e-35   1.12992788384508413e-33
3.23539977859807079e-10   1.52188712312235870e-34   4.71421119334770800e-33
3.38946643472178847e-10   6.44863000166503715e-34   1.94025208574858307e-32
3.54353309084550615e-10   2.69584142761505419e-33   7.87803055335909959e-32
3.69759974696922332e-10   1.11190457547712971e-32   3.15564367444682977e-31
3.85166640309294100e-10   4.52460154819061906e-32   1.24695226274334709e-30
4.00573305921665868e-10   1.81649858655804026e-31   4.86095630261197218e-30
4.15979971534037636e-10   7.19508178418708010e-31   1.86940764382941682e-29
4.31386637146409404e-10   2.81174779549182123e-30   7.09216152354826389e-29
4.46793302758781173e-10   1.08407355384970891e-29   2.65437876745141291e-28
4.62199968371152941e-10   4.12369517224820473e-29   9.80070241904645614e-28
4.77606633983524761e-10   1.54758453292352804e-28   3.56980530233634405e-27
4.93013299595896477e-10   5.73011852616628181e-28   1.28274755039464340e-26
5.08419965208268193e-10   2.09323264049115254e-27   4.54723630980053875e-26
5.23826630820640013e-10   7.54416519595645753e-27   1.59018467690940782e-25
5.39233296433011730e-10   2.68253661085695061e-26   5.48601025008682594e-25
5.54639962045383550e-10   9.41073998126603606e-26   1.86713181016066117e-24
5.70046627657755266e-10   3.25717525836761024e-25   6.26884771626080020e-24
5.85453293270127086e-10   1.11223950326533997e-24   2.07639109155118658e-23
6.00859958882498802e-10   3.74712172179101908e-24   6.78483928175181119e-23
6.16266624494870622e-10   1.24547656207061764e-23   2.18708165392280287e-22
6.31673290107242339e-10   4.08424531593536115e-23   6.95502700567923745e-22
6.47079955719614158e-10   1.32138270160338148e-22   2.18193236252974882e-21
6.62486621331985875e-10   4.21776364418113453e-22   6.75273018033115447e-21
6.77893286944357695e-10   1.32822773918439569e-21   2.06170064056202310e-20
6.93299952556729411e-10   4.12668313005682513e-21   6.20983607029205452e-20
7.08706618169101231e-10   1.26492414735472176e-20   1.84514677311812504e-19
7.24113283781472947e-10   3.82527011632195902e-20   5.40865789447400184e-19
7.39519949393844664e-10   1.14128759177257838e-19   1.56406976265478970e-18
7.54926615006216484e-10   3.35938743191276272e-19   4.46189720868117015e-18
7.70333280618588200e-10   9.75564905273288004e-19   1.25571343465627869e-17
7.85739946230960020e-10   2.79501335282435534e-18   3.48633597393271384e-17
8.01146611843331736e-10   7.90023324610593923e-18   9.54872367444553078e-17
8.16553277455703556e-10   2.20304238005153412e-17   2.58005337387935827e-16
8.31959943068075273e-10   6.06083773566904586e-17   6.87732403057031741e-16
8.47366608680447093e-10   1.64499990369983912e-16   1.80845710541132305e-15
8.62773274292818809e-10   4.40474287984557322e-16   4.69141618148603716e-15
8.78179939905190629e-10   1.16357920398558977e-15   1.20062358210676270e-14
8.93586605517562345e-10   3.03241263473846838e-15   3.03115552858018668e-14
9.08993271129934165e-10   7.79641530684784340e-15   7.54946809456069284e-14
9.24399936742305882e-10   1.97749009027690613e-14   1.85494648301875355e-13
9.39806602354677598e-10   4.94814115855591052e-14   4.49619719925585356e-13
9.55213267967049521e-10   1.22144729275123531e-13   1.07514209989763357e-12
9.70619933579421238e-10   2.97446949322072442e-13   2.53625567590932339e-12
9.86026599191792954e-10   7.14564341158964794e-13   5.90227720662825375e-12
1.00143326480416467e-09   1.69342306672379567e-12   1.35504121078381307e-11
1.01683993041653639e-09   3.95892897402446627e-12   3.06896412848569298e-11
1.03224659602890831e-09   9.13001899448100545e-12   6.85694990353437898e-11
1.04765326164128003e-09   2.07702162749474863e-11   1.51138901205466740e-10
1.06305992725365174e-09   4.66100490896341478e-11   3.28645526537984738e-10
1.07846659286602346e-09   1.03176083463704236e-10   7.04984343543994824e-10
1.09387325847839538e-09   2.25284224988875531e-10   1.49189115422829382e-09
1.10927992409076710e-09   4.85205728763661555e-10   3.11458918083088903e-09
1.12468658970313882e-09   1.03075012695841133e-09   6.41453367828457261e-09
1.14009325531551053e-09   2.15973892216576313e-09   1.30327222193909556e-08
1.15549992092788246e-09   4.46330736755313444e-09   2.61222720935377537e-08
1.17090658654025417e-09   9.09713974225271841e-09   5.16520816610113972e-08
1.18631325215262589e-09   1.82864224507546325e-08   1.00755847416598021e-07
1.20171991776499760e-09   3.62501862934737387e-08   1.93891271924391198e-07
1.21712658337736953e-09   7.08644036515738192e-08   3.68084635930523108e-07
1.23253324898974124e-09   1.36602524778507018e-07   6.89354321931493587e-07
1.24793991460211296e-09   2.59642479989573088e-07   1.27362830742794122e-06
1.26334658021448468e-09   4.86574045423917442e-07   2.32137163313952605e-06
1.27875324582685639e-09   8.98967841611692690e-07   4.17399444652469514e-06
1.29415991143922832e-09   1.63728040271639700e-06   7.40396367065030308e-06
1.30956657705160003e-09   2.93928449154124021e-06   1.29562338462688947e-05
1.32497324266397175e-09   5.20055533150185906e-06   2.23665166456188094e-05
1.34037990827634347e-09   9.06755955253786935e-06   3.80910538089911967e-05
1.35578657388871539e-09   1.55775119958349872e-05   6.39955837105950497e-05
1.37119323950108711e-09   2.63631518829689345e-05   1.06067408846687584e-04
1.38659990511345882e-09   4.39441740125446197e-05   1.73427845607314156e-04
1.40200657072583054e-09   7.21288575415775951e-05   2.79742436533249143e-04
1.41741323633820246e-09   1.16547479981533435e-04   4.45146217952596180e-04
1.43281990195057418e-09   1.85329688697064140e-04   6.98798240982663335e-04
1.44822656756294589e-09   2.89916163496472851e-04   1.08219076536519442e-03
1.46363323317531761e-09   4.45955156227466126e-04   1.65333377468176198e-03
1.47903989878768933e-09   6.74168262097865276e-04   2.49185007929977626e-03
1.49444656440006125e-09   1.00096873967259669e-03   3.70498467511731940e-03
1.50985323001243297e-09   1.45847538531574685e-03   5.43444889359435274e-03
1.52525989562480468e-09   2.08337884236171802e-03   7.86374005448747283e-03
1.54066656123717640e-09   2.91388831748691426e-03   1.12255112672611929e-02
1.55607322684954832e-09   3.98373624913318184e-03   1.58083885425666613e-02
1.57147989246192004e-09   5.31196898550616824e-03   2.19620826092574231e-02
1.58688655807429176e-09   6.88705277382982341e-03   3.00997553840425189e-02
1.60229322368666347e-09   8.64376244986173915e-03   4.06964770590355421e-02
1.61769988929903540e-09   1.04314668135798132e-02   5.42818980816968805e-02
1.63310655491140711e-09   1.19728796263399231e-02   7.14260977994066737e-02
1.64851322052377883e-09   1.28132295829188319e-02   9.27178070176399582e-02
1.66391988613615055e-09   1.22611407120649923e-02   1.18733607273581024e-01
1.67932655174852247e-09   9.32430289400716997e-03   1.49998875715065733e-01
1.69473321736089419e-09   2.64519697275544027e-03   1.86941880848036146e-01
1.71013988297326590e-09   -9.55556756228108373e-03   2.29842021218420872e-01
1.72554654858563762e-09   -2.95187083060329362e-02   2.78776528453247241e-01
1.74095321419800933e-09   -5.99575562560780151e-02   3.33570154486504677e-01
1.75635987981038126e-09   -1.04030137026662736e-01   3.93751602725544270e-01
1.77176654542275297e-09   -1.65262752421489911e-01   4.58523426519686084e-01
1.78717321103512469e-09   -2.47419558331864325e-01   5.26750414081239682e-01
1.80257987664749641e-09   -3.54318584006937554e-01   5.96969811458100574e-01
1.81798654225986833e-09   -4.89602337624211681e-01   6.67427312187245492e-01
1.83339320787224005e-09   -6.56479521401961086e-01   7.36138796213061330e-01
1.84879987348461176e-09   -8.57462101414129041e-01   8.00976062534531019e-01
1.86420653909698348e-09   -1.09412739458434394e+00   8.59772484358696465e-01
1.87961320470935520e-09   -1.36693617139996615e+00   9.10440668517051299e-01
1.89501987032172691e-09   -1.67513388469831215e+00   9.51094866325329025e-01
1.91042653593409904e-09   -2.01675279253478834e+00   9.80167349145856681e-01
