t              lineIntegralProbe_plates.fdtd_vprobe_LI_20_20_10.dat
   0.00000000000000000E+000   0.000000000E+000
   0.24999999900104930E-011   0.000000000E+000
   0.49999999800209860E-011   0.000000000E+000
   0.74999999700314790E-011   0.000000000E+000
   0.99999999600419720E-011   0.000000000E+000
   0.12499999950052465E-010   0.000000000E+000
   0.14999999940062958E-010   0.000000000E+000
   0.17499999930073451E-010   0.000000000E+000
   0.19999999920083944E-010   0.000000000E+000
   0.22499999910094437E-010   0.000000000E+000
   0.24999999900104930E-010   0.000000000E+000
   0.27499999890115423E-010   0.000000000E+000
   0.29999999880125916E-010   0.000000000E+000
   0.32499999870136409E-010   0.000000000E+000
   0.34999999860146902E-010   0.000000000E+000
   0.37499999850157395E-010   0.000000000E+000
   0.39999999840167888E-010  -0.449459116E-028
   0.42499999830178381E-010  -0.139915787E-026
   0.44999999820188874E-010  -0.223666457E-025
   0.47499999810199367E-010  -0.244611395E-024
   0.49999999800209860E-010  -0.205738099E-023
   0.52499999790220353E-010  -0.141851264E-022
   0.54999999780230846E-010  -0.834583220E-022
   0.57499999770241339E-010  -0.430710633E-021
   0.59999999760251832E-010  -0.198920781E-020
   0.62499999750262325E-010  -0.834743095E-020
   0.64999999740272818E-010  -0.322087264E-019
   0.67499999730283311E-010  -0.115370900E-018
   0.69999999720293804E-010  -0.386658081E-018
   0.72499999710304297E-010  -0.122041328E-017
   0.74999999700314790E-010  -0.364786567E-017
   0.77499999690325283E-010  -0.103748309E-016
   0.79999999680335776E-010  -0.281912649E-016
   0.82499999670346269E-010  -0.734505150E-016
   0.84999999660356762E-010  -0.184073706E-015
   0.87499999650367255E-010  -0.444958795E-015
   0.89999999640377748E-010  -0.104007038E-014
   0.92499999630388241E-010  -0.235609774E-014
   0.94999999620398734E-010  -0.518308481E-014
   0.97499999610409227E-010  -0.110928155E-013
   0.99999999600419720E-010  -0.231353107E-013
   0.10249999959043021E-009  -0.470919419E-013
   0.10499999958044071E-009  -0.936821218E-013
   0.10749999957045120E-009  -0.182371208E-012
   0.10999999956046169E-009  -0.347816340E-012
   0.11249999955047219E-009  -0.650581477E-012
   0.11499999954048268E-009  -0.119464117E-011
   0.11749999953049317E-009  -0.215550624E-011
   0.11999999952050366E-009  -0.382470401E-011
   0.12249999951051416E-009  -0.667904924E-011
   0.12499999950052465E-009  -0.114869616E-010
   0.12749999949053514E-009  -0.194692856E-010
   0.12999999948054564E-009  -0.325392734E-010
   0.13249999947055613E-009  -0.536557847E-010
   0.13499999946056662E-009  -0.873363534E-010
   0.13749999945057712E-009  -0.140392947E-009
   0.13999999944058761E-009  -0.222973570E-009
   0.14249999943059810E-009  -0.350018875E-009
   0.14499999942060859E-009  -0.543273426E-009
   0.14749999941061909E-009  -0.834031233E-009
   0.14999999940062958E-009  -0.126683464E-008
   0.15249999939064007E-009  -0.190440486E-008
   0.15499999938065057E-009  -0.283413093E-008
   0.15749999937066106E-009  -0.417651247E-008
   0.15999999936067155E-009  -0.609602191E-008
   0.16249999935068205E-009  -0.881490347E-008
   0.16499999934069254E-009  -0.126305171E-007
   0.16749999933070303E-009  -0.179368591E-007
   0.16999999932071352E-009  -0.252509924E-007
   0.17249999931072402E-009  -0.352450549E-007
   0.17499999930073451E-009  -0.487845995E-007
   0.17749999929074500E-009  -0.669739677E-007
   0.17999999928075550E-009  -0.912091309E-007
   0.18249999927076599E-009  -0.123238692E-006
   0.18499999926077648E-009  -0.165232933E-006
   0.18749999925078698E-009  -0.219861093E-006
   0.18999999924079747E-009  -0.290376050E-006
   0.19249999923080796E-009  -0.380706126E-006
   0.19499999922081845E-009  -0.495551092E-006
   0.19749999921082895E-009  -0.640481744E-006
   0.19999999920083944E-009  -0.822038999E-006
   0.20249999919084993E-009  -0.104782885E-005
   0.20499999918086043E-009  -0.132660887E-005
   0.20749999917087092E-009  -0.166836071E-005
   0.20999999916088141E-009  -0.208433994E-005
   0.21249999915089191E-009  -0.258710293E-005
   0.21499999914090240E-009  -0.319049377E-005
   0.21749999913091289E-009  -0.390959212E-005
   0.21999999912092338E-009  -0.476060723E-005
   0.22249999911093388E-009  -0.576071761E-005
   0.22499999910094437E-009  -0.692784761E-005
   0.22749999909095486E-009  -0.828036718E-005
   0.22999999908096536E-009  -0.983673272E-005
   0.23249999907097585E-009  -0.116150422E-004
   0.23499999906098634E-009  -0.136325307E-004
   0.23749999905099684E-009  -0.159049996E-004
   0.23999999904100733E-009  -0.184461787E-004
   0.24249999903101782E-009  -0.212670711E-004
   0.24499999902102831E-009  -0.243752511E-004
   0.24749999901103881E-009  -0.277741710E-004
   0.24999999900104930E-009  -0.314624849E-004
   0.25249999899105979E-009  -0.354334297E-004
   0.25499999898107029E-009  -0.396742835E-004
   0.25749999897108078E-009  -0.441658995E-004
   0.25999999896109127E-009  -0.488824917E-004
   0.26249999895110177E-009  -0.537914420E-004
   0.26499999894111226E-009  -0.588534276E-004
   0.26749999893112275E-009  -0.640227154E-004
   0.26999999892113324E-009  -0.692477333E-004
   0.27249999891114374E-009  -0.744718782E-004
   0.27499999890115423E-009  -0.796345339E-004
   0.27749999889116472E-009  -0.846724797E-004
   0.27999999888117522E-009  -0.895212943E-004
   0.28249999887118571E-009  -0.941172184E-004
   0.28499999886119620E-009  -0.983988793E-004
   0.28749999885120670E-009  -0.102309321E-003
   0.28999999884121719E-009  -0.105798019E-003
   0.29249999883122768E-009  -0.108822635E-003
   0.29499999882123817E-009  -0.111350957E-003
   0.29749999881124867E-009  -0.113362294E-003
   0.29999999880125916E-009  -0.114848692E-003
   0.30249999879126965E-009  -0.115815819E-003
   0.30499999878128015E-009  -0.116283161E-003
   0.30749999877129064E-009  -0.116284042E-003
   0.30999999876130113E-009  -0.115864663E-003
   0.31249999875131163E-009  -0.115082992E-003
   0.31499999874132212E-009  -0.114006929E-003
   0.31749999873133261E-009  -0.112711961E-003
   0.31999999872134310E-009  -0.111278467E-003
   0.32249999871135360E-009  -0.109788809E-003
   0.32499999870136409E-009  -0.108324100E-003
   0.32749999869137458E-009  -0.106960928E-003
   0.32999999868138508E-009  -0.105768340E-003
   0.33249999867139557E-009  -0.104804873E-003
   0.33499999866140606E-009  -0.104116058E-003
   0.33749999865141656E-009  -0.103732411E-003
   0.33999999864142705E-009  -0.103667931E-003
   0.34249999863143754E-009  -0.103919425E-003
   0.34499999862144803E-009  -0.104466330E-003
   0.34749999861145853E-009  -0.105271458E-003
   0.34999999860146902E-009  -0.106282372E-003
   0.35249999859147951E-009  -0.107433349E-003
   0.35499999858149001E-009  -0.108648179E-003
   0.35749999857150050E-009  -0.109843328E-003
   0.35999999856151099E-009  -0.110931513E-003
   0.36249999855152149E-009  -0.111825691E-003
   0.36499999854153198E-009  -0.112443005E-003
   0.36749999853154247E-009  -0.112709051E-003
   0.36999999852155296E-009  -0.112561451E-003
   0.37249999851156346E-009  -0.111953537E-003
   0.37499999850157395E-009  -0.110857123E-003
   0.37749999849158444E-009  -0.109264736E-003
   0.37999999848159494E-009  -0.107190805E-003
   0.38249999847160543E-009  -0.104671795E-003
   0.38499999846161592E-009  -0.101765225E-003
   0.38749999845162642E-009  -0.985474690E-004
   0.38999999844163691E-009  -0.951104084E-004
   0.39249999843164740E-009  -0.915569981E-004
   0.39499999842165789E-009  -0.879960644E-004
   0.39749999841166839E-009  -0.845364921E-004
   0.39999999840167888E-009  -0.812813378E-004
   0.40249999839168937E-009  -0.783220166E-004
   0.40499999838169987E-009  -0.757330927E-004
   0.40749999837171036E-009  -0.735683279E-004
   0.40999999836172085E-009  -0.718577867E-004
   0.41249999835173135E-009  -0.706067876E-004
   0.41499999834174184E-009  -0.697963769E-004
   0.41749999833175233E-009  -0.693856346E-004
   0.41999999832176282E-009  -0.693154070E-004
   0.42249999831177332E-009  -0.695131821E-004
   0.42499999830178381E-009  -0.698988806E-004
   0.42749999829179430E-009  -0.703905971E-004
   0.42999999828180480E-009  -0.709103479E-004
   0.43249999827181529E-009  -0.713887857E-004
   0.43499999826182578E-009  -0.717689545E-004
   0.43749999825183628E-009  -0.720084572E-004
   0.43999999824184677E-009  -0.720802345E-004
   0.44249999823185726E-009  -0.719717864E-004
   0.44499999822186775E-009  -0.716834329E-004
   0.44749999821187825E-009  -0.712256442E-004
   0.44999999820188874E-009  -0.706161445E-004
   0.45249999819189923E-009  -0.698772128E-004
   0.45499999818190973E-009  -0.690334782E-004
   0.45749999817192022E-009  -0.681106103E-004
   0.45999999816193071E-009  -0.671349917E-004
   0.46249999815194121E-009  -0.661342056E-004
   0.46499999814195170E-009  -0.651381852E-004
   0.46749999813196219E-009  -0.641804727E-004
   0.46999999812197268E-009  -0.632992305E-004
   0.47249999811198318E-009  -0.625375105E-004
   0.47499999810199367E-009  -0.619422135E-004
   0.47749999809200416E-009  -0.615618119E-004
   0.47999999808201466E-009  -0.614426026E-004
   0.48249999807202515E-009  -0.616238904E-004
   0.48499999806203564E-009  -0.621327126E-004
   0.48749999805204614E-009  -0.629786664E-004
   0.48999999804205663E-009  -0.641498482E-004
   0.49249999803206712E-009  -0.656106058E-004
   0.49499999802207761E-009  -0.673017930E-004
   0.49749999801208811E-009  -0.691440218E-004
   0.49999999800209860E-009  -0.710437525E-004
   0.50249999799210909E-009  -0.729019666E-004
   0.50499999798211959E-009  -0.746245350E-004
   0.50749999797213008E-009  -0.761330957E-004
   0.50999999796214057E-009  -0.773751963E-004
   0.51249999795215107E-009  -0.783321302E-004
   0.51499999794216156E-009  -0.790231206E-004
   0.51749999793217205E-009  -0.795053566E-004
   0.51999999792218254E-009  -0.798688925E-004
   0.52249999791219304E-009  -0.802271388E-004
   0.52499999790220353E-009  -0.807034230E-004
   0.52749999789221402E-009  -0.814154846E-004
   0.52999999788222452E-009  -0.824592425E-004
   0.53249999787223501E-009  -0.838945198E-004
   0.53499999786224550E-009  -0.857342748E-004
   0.53749999785225600E-009  -0.879393338E-004
   0.53999999784226649E-009  -0.904196204E-004
   0.54249999783227698E-009  -0.930420210E-004
   0.54499999782228747E-009  -0.956445801E-004
   0.54749999781229797E-009  -0.980552504E-004
   0.54999999780230846E-009  -0.100113364E-003
   0.55249999779231895E-009  -0.101690654E-003
   0.55499999778232945E-009  -0.102709440E-003
   0.55749999777233994E-009  -0.103155369E-003
   0.55999999776235043E-009  -0.103082471E-003
   0.56249999775236093E-009  -0.102609651E-003
   0.56499999774237142E-009  -0.101908721E-003
   0.56749999773238191E-009  -0.101184924E-003
   0.56999999772239240E-009  -0.100652331E-003
   0.57249999771240290E-009  -0.100506979E-003
   0.57499999770241339E-009  -0.100901438E-003
   0.57749999769242388E-009  -0.101923841E-003
   0.57999999768243438E-009  -0.103584563E-003
   0.58249999767244487E-009  -0.105812513E-003
   0.58499999766245536E-009  -0.108461638E-003
   0.58749999765246586E-009  -0.111327339E-003
   0.58999999764247635E-009  -0.114170762E-003
   0.59249999763248684E-009  -0.116747826E-003
   0.59499999762249733E-009  -0.118839518E-003
   0.59749999761250783E-009  -0.120279292E-003
   0.59999999760251832E-009  -0.120973869E-003
   0.60249999759252881E-009  -0.120914636E-003
   0.60499999758253931E-009  -0.120178076E-003
   0.60749999757254980E-009  -0.118914919E-003
   0.60999999756256029E-009  -0.117329546E-003
   0.61249999755257079E-009  -0.115652299E-003
   0.61499999754258128E-009  -0.114108545E-003
   0.61749999753259177E-009  -0.112888658E-003
   0.61999999752260226E-009  -0.112123314E-003
   0.62249999751261276E-009  -0.111867244E-003
   0.62499999750262325E-009  -0.112094043E-003
   0.62749999749263374E-009  -0.112702692E-003
   0.62999999748264424E-009  -0.113534858E-003
   0.63249999747265473E-009  -0.114400595E-003
   0.63499999746266522E-009  -0.115108618E-003
   0.63749999745267572E-009  -0.115496950E-003
   0.63999999744268621E-009  -0.115459268E-003
   0.64249999743269670E-009  -0.114963121E-003
   0.64499999742270719E-009  -0.114057191E-003
   0.64749999741271769E-009  -0.112866364E-003
   0.64999999740272818E-009  -0.111575260E-003
   0.65249999739273867E-009  -0.110402114E-003
   0.65499999738274917E-009  -0.109567212E-003
   0.65749999737275966E-009  -0.109259840E-003
   0.65999999736277015E-009  -0.109609005E-003
   0.66249999735278065E-009  -0.110662033E-003
   0.66499999734279114E-009  -0.112374400E-003
   0.66749999733280163E-009  -0.114612434E-003
   0.66999999732281212E-009  -0.117168907E-003
   0.67249999731282262E-009  -0.119789198E-003
   0.67499999730283311E-009  -0.122205005E-003
   0.67749999729284360E-009  -0.124170241E-003
   0.67999999728285410E-009  -0.125494887E-003
   0.68249999727286459E-009  -0.126071100E-003
   0.68499999726287508E-009  -0.125888779E-003
   0.68749999725288558E-009  -0.125037579E-003
   0.68999999724289607E-009  -0.123695354E-003
   0.69249999723290656E-009  -0.122104640E-003
