t              shieldingEffectiveness.fdtd_front_Ex_1_1_1.dat       incid
   0.00000000000000000E+000   0.000000000E+000   0.134010895E-005
   0.38516663816712260E-011   0.000000000E+000   0.155864063E-005
   0.77033327633424520E-011   0.000000000E+000   0.181126097E-005
   0.11554999145013678E-010   0.000000000E+000   0.210304802E-005
   0.15406665526684904E-010   0.000000000E+000   0.243977365E-005
   0.19258331908356130E-010  -0.975078862E-008   0.282799874E-005
   0.23109998290027356E-010  -0.131837989E-007   0.327523048E-005
   0.26961664671698582E-010   0.186979197E-007   0.378997834E-005
   0.30813331053369808E-010   0.409413978E-007   0.438188454E-005
   0.34664997435041034E-010  -0.135377043E-007   0.506195374E-005
   0.38516663816712260E-010  -0.662733015E-007   0.584261670E-005
   0.42368330198383486E-010   0.181523276E-007   0.673792556E-005
   0.46219996580054712E-010   0.143016337E-006   0.776386514E-005
   0.50071662961725938E-010   0.715193877E-007   0.893843935E-005
   0.53923329343397164E-010  -0.128831374E-006   0.102819413E-004
   0.57774995725068390E-010  -0.110579052E-006   0.118173848E-004
   0.61626662106739616E-010   0.159323420E-006   0.135706159E-004
   0.65478328488410842E-010   0.266863481E-006   0.155706803E-004
   0.69329994870082068E-010   0.252368864E-007   0.178504106E-004
   0.73181661251753294E-010  -0.176550714E-006   0.204465960E-004
   0.77033327633424520E-010  -0.526326005E-008   0.234004092E-004
   0.80884994015095746E-010   0.270032444E-006   0.267583127E-004
   0.84736660396766972E-010   0.246774363E-006   0.305721514E-004
   0.88588326778438198E-010   0.345377345E-007   0.348998074E-004
   0.92439993160109424E-010   0.418519264E-008   0.398063930E-004
   0.96291659541780650E-010   0.174096627E-006   0.453643406E-004
   0.10014332592345188E-009   0.275268690E-006   0.516542605E-004
   0.10399499230512310E-009   0.236557653E-006   0.587665891E-004
   0.10784665868679433E-009   0.218604868E-006   0.668015928E-004
   0.11169832506846555E-009   0.284825774E-006   0.758704919E-004
   0.11554999145013678E-009   0.352660010E-006   0.860977307E-004
   0.11940165783180801E-009   0.392278025E-006   0.976208466E-004
   0.12325332421347923E-009   0.443975551E-006   0.110591907E-003
   0.12710499059515046E-009   0.510551843E-006   0.125180508E-003
   0.13095665697682168E-009   0.584140253E-006   0.141573459E-003
   0.13480832335849291E-009   0.689694332E-006   0.159976800E-003
   0.13865998974016414E-009   0.810698225E-006   0.180619594E-003
   0.14251165612183536E-009   0.892167236E-006   0.203753327E-003
   0.14636332250350659E-009   0.968110726E-006   0.229654310E-003
   0.15021498888517781E-009   0.113444003E-005   0.258628861E-003
   0.15406665526684904E-009   0.136864787E-005   0.291012169E-003
   0.15791832164852027E-009   0.155344628E-005   0.327171467E-003
   0.16176998803019149E-009   0.169326654E-005   0.367512665E-003
   0.16562165441186272E-009   0.191265985E-005   0.412478345E-003
   0.16947332079353394E-009   0.223185407E-005   0.462551572E-003
   0.17332498717520517E-009   0.254821634E-005   0.518264598E-003
   0.17717665355687640E-009   0.284694761E-005   0.580195978E-003
   0.18102831993854762E-009   0.322424876E-005   0.648975256E-003
   0.18487998632021885E-009   0.369468512E-005   0.725293881E-003
   0.18873165270189007E-009   0.417572983E-005   0.809900870E-003
