t              twoWires.fdtd_Bulk probe_Jx_15_11_13__15_13_17.dat
   0.00000000000000000E+000   0.000000000E+000
   0.15400000068568898E-011   0.000000000E+000
   0.30800000137137795E-011   0.000000000E+000
   0.46200000205706693E-011   0.000000000E+000
   0.61600000274275590E-011   0.000000000E+000
   0.77000000342844488E-011   0.000000000E+000
   0.92400000411413385E-011   0.000000000E+000
   0.10780000047998228E-010   0.000000000E+000
   0.12320000054855118E-010   0.000000000E+000
   0.13860000061712008E-010   0.000000000E+000
   0.15400000068568898E-010   0.000000000E+000
   0.16940000075425787E-010   0.000000000E+000
   0.18480000082282677E-010   0.000000000E+000
   0.20020000089139567E-010   0.000000000E+000
   0.21560000095996457E-010   0.000000000E+000
   0.23100000102853346E-010   0.000000000E+000
   0.24640000109710236E-010   0.000000000E+000
   0.26180000116567126E-010   0.000000000E+000
   0.27720000123424016E-010   0.000000000E+000
   0.29260000130280905E-010   0.000000000E+000
   0.30800000137137795E-010   0.000000000E+000
   0.32340000143994685E-010   0.000000000E+000
   0.33880000150851575E-010   0.000000000E+000
   0.35420000157708464E-010   0.000000000E+000
   0.36960000164565354E-010   0.000000000E+000
   0.38500000171422244E-010   0.000000000E+000
   0.40040000178279134E-010   0.000000000E+000
   0.41580000185136023E-010   0.000000000E+000
   0.43120000191992913E-010   0.000000000E+000
   0.44660000198849803E-010   0.000000000E+000
   0.46200000205706693E-010   0.000000000E+000
   0.47740000212563583E-010   0.000000000E+000
   0.49280000219420472E-010   0.000000000E+000
   0.50820000226277362E-010   0.000000000E+000
   0.52360000233134252E-010   0.000000000E+000
   0.53900000239991142E-010   0.000000000E+000
   0.55440000246848031E-010   0.000000000E+000
   0.56980000253704921E-010   0.000000000E+000
   0.58520000260561811E-010   0.000000000E+000
   0.60060000267418701E-010   0.000000000E+000
   0.61600000274275590E-010   0.000000000E+000
   0.63140000281132480E-010   0.000000000E+000
   0.64680000287989370E-010   0.000000000E+000
   0.66220000294846260E-010   0.000000000E+000
   0.67760000301703149E-010   0.000000000E+000
   0.69300000308560039E-010   0.000000000E+000
   0.70840000315416929E-010   0.000000000E+000
   0.72380000322273819E-010   0.000000000E+000
   0.73920000329130708E-010   0.000000000E+000
   0.75460000335987598E-010   0.000000000E+000
   0.77000000342844488E-010   0.000000000E+000
   0.78540000349701378E-010   0.000000000E+000
   0.80080000356558267E-010   0.000000000E+000
   0.81620000363415157E-010   0.000000000E+000
   0.83160000370272047E-010   0.000000000E+000
   0.84700000377128937E-010   0.000000000E+000
   0.86240000383985826E-010   0.000000000E+000
   0.87780000390842716E-010   0.000000000E+000
   0.89320000397699606E-010   0.000000000E+000
   0.90860000404556496E-010   0.000000000E+000
   0.92400000411413385E-010   0.000000000E+000
   0.93940000418270275E-010   0.000000000E+000
   0.95480000425127165E-010   0.000000000E+000
   0.97020000431984055E-010   0.000000000E+000
   0.98560000438840945E-010   0.000000000E+000
   0.10010000044569783E-009   0.000000000E+000
   0.10164000045255472E-009   0.000000000E+000
   0.10318000045941161E-009   0.000000000E+000
   0.10472000046626850E-009   0.000000000E+000
   0.10626000047312539E-009   0.000000000E+000
   0.10780000047998228E-009   0.000000000E+000
   0.10934000048683917E-009   0.000000000E+000
   0.11088000049369606E-009   0.000000000E+000
   0.11242000050055295E-009   0.000000000E+000
   0.11396000050740984E-009   0.000000000E+000
   0.11550000051426673E-009   0.000000000E+000
   0.11704000052112362E-009   0.000000000E+000
   0.11858000052798051E-009   0.000000000E+000
   0.12012000053483740E-009   0.000000000E+000
   0.12166000054169429E-009   0.000000000E+000
   0.12320000054855118E-009   0.000000000E+000
   0.12474000055540807E-009   0.000000000E+000
   0.12628000056226496E-009   0.000000000E+000
   0.12782000056912185E-009   0.000000000E+000
   0.12936000057597874E-009   0.000000000E+000
   0.13090000058283563E-009   0.000000000E+000
   0.13244000058969252E-009   0.000000000E+000
   0.13398000059654941E-009   0.000000000E+000
   0.13552000060340630E-009   0.000000000E+000
   0.13706000061026319E-009   0.000000000E+000
   0.13860000061712008E-009   0.000000000E+000
   0.14014000062397697E-009   0.000000000E+000
   0.14168000063083386E-009   0.000000000E+000
   0.14322000063769075E-009   0.000000000E+000
   0.14476000064454764E-009   0.000000000E+000
   0.14630000065140453E-009   0.000000000E+000
   0.14784000065826142E-009   0.000000000E+000
   0.14938000066511831E-009   0.000000000E+000
   0.15092000067197520E-009   0.000000000E+000
   0.15246000067883209E-009   0.000000000E+000
   0.15400000068568898E-009   0.000000000E+000
   0.15554000069254587E-009   0.000000000E+000
   0.15708000069940276E-009   0.000000000E+000
   0.15862000070625965E-009   0.000000000E+000
   0.16016000071311653E-009   0.000000000E+000
   0.16170000071997342E-009   0.000000000E+000
   0.16324000072683031E-009   0.000000000E+000
   0.16478000073368720E-009   0.000000000E+000
   0.16632000074054409E-009   0.000000000E+000
   0.16786000074740098E-009   0.000000000E+000
   0.16940000075425787E-009   0.000000000E+000
   0.17094000076111476E-009   0.000000000E+000
   0.17248000076797165E-009   0.000000000E+000
   0.17402000077482854E-009   0.000000000E+000
   0.17556000078168543E-009   0.000000000E+000
   0.17710000078854232E-009   0.000000000E+000
   0.17864000079539921E-009   0.000000000E+000
   0.18018000080225610E-009   0.000000000E+000
   0.18172000080911299E-009   0.000000000E+000
   0.18326000081596988E-009   0.000000000E+000
   0.18480000082282677E-009   0.000000000E+000
   0.18634000082968366E-009   0.000000000E+000
   0.18788000083654055E-009   0.000000000E+000
   0.18942000084339744E-009   0.000000000E+000
   0.19096000085025433E-009   0.000000000E+000
   0.19250000085711122E-009   0.000000000E+000
   0.19404000086396811E-009   0.000000000E+000
   0.19558000087082500E-009   0.000000000E+000
   0.19712000087768189E-009   0.000000000E+000
   0.19866000088453878E-009   0.000000000E+000
   0.20020000089139567E-009   0.000000000E+000
   0.20174000089825256E-009   0.000000000E+000
   0.20328000090510945E-009   0.000000000E+000
   0.20482000091196634E-009   0.000000000E+000
   0.20636000091882323E-009   0.000000000E+000
   0.20790000092568012E-009   0.000000000E+000
   0.20944000093253701E-009   0.000000000E+000
   0.21098000093939390E-009   0.000000000E+000
   0.21252000094625079E-009   0.000000000E+000
   0.21406000095310768E-009   0.000000000E+000
   0.21560000095996457E-009   0.000000000E+000
   0.21714000096682146E-009   0.000000000E+000
   0.21868000097367835E-009   0.000000000E+000
   0.22022000098053524E-009   0.000000000E+000
   0.22176000098739213E-009   0.000000000E+000
   0.22330000099424901E-009   0.000000000E+000
   0.22484000100110590E-009   0.000000000E+000
   0.22638000100796279E-009   0.000000000E+000
   0.22792000101481968E-009   0.140129846E-044
   0.22946000102167657E-009   0.280259693E-044
   0.23100000102853346E-009   0.280259693E-044
   0.23254000103539035E-009   0.420389539E-044
   0.23408000104224724E-009   0.560519386E-044
   0.23562000104910413E-009   0.700649232E-044
   0.23716000105596102E-009   0.840779079E-044
   0.23870000106281791E-009   0.126116862E-043
   0.24024000106967480E-009   0.168155816E-043
   0.24178000107653169E-009   0.210194770E-043
   0.24332000108338858E-009   0.280259693E-043
   0.24486000109024547E-009   0.364337601E-043
   0.24640000109710236E-009   0.490454463E-043
   0.24794000110395925E-009   0.644597294E-043
   0.24948000111081614E-009   0.854792063E-043
   0.25102000111767303E-009   0.113505176E-042
   0.25256000112452992E-009   0.147136339E-042
   0.25410000113138681E-009   0.191977890E-042
   0.25564000113824370E-009   0.252233724E-042
   0.25718000114510059E-009   0.332107736E-042
   0.25872000115195748E-009   0.431599927E-042
   0.26026000115881437E-009   0.564723281E-042
   0.26180000116567126E-009   0.739885589E-042
   0.26334000117252815E-009   0.962692045E-042
   0.26488000117938504E-009   0.125976732E-041
   0.26642000118624193E-009   0.164232180E-041
   0.26796000119309882E-009   0.214398665E-041
   0.26950000119995571E-009   0.279418914E-041
   0.27104000120681260E-009   0.364057341E-041
   0.27258000121366949E-009   0.474479660E-041
   0.27412000122052638E-009   0.617832493E-041
   0.27566000122738327E-009   0.804205189E-041
   0.27720000123424016E-009   0.104606930E-040
   0.27874000124109705E-009   0.136052068E-040
   0.28028000124795394E-009   0.176843866E-040
   0.28182000125481083E-009   0.229798935E-040
   0.28336000126166772E-009   0.298462560E-040
   0.28490000126852461E-009   0.387487051E-040
   0.28644000127538150E-009   0.502813915E-040
   0.28798000128223838E-009   0.652220357E-040
   0.28952000128909527E-009   0.845599545E-040
   0.29106000129595216E-009   0.109594152E-039
   0.29260000130280905E-009   0.141972554E-039
   0.29414000130966594E-009   0.183836346E-039
   0.29568000131652283E-009   0.237946084E-039
   0.29722000132337972E-009   0.307841451E-039
   0.29876000133023661E-009   0.398097683E-039
   0.30030000133709350E-009   0.514600236E-039
   0.30184000134395039E-009   0.664904911E-039
   0.30338000135080728E-009   0.858743725E-039
   0.30492000135766417E-009   0.110860925E-038
   0.30646000136452106E-009   0.143056318E-038
   0.30800000137137795E-009   0.184522421E-038
   0.30954000137823484E-009   0.237904886E-038
   0.31108000138509173E-009   0.306599340E-038
   0.31262000139194862E-009   0.394958775E-038
   0.31416000139880551E-009   0.508563302E-038
   0.31570000140566240E-009   0.654563468E-038
   0.31724000141251929E-009   0.842115497E-038
   0.31878000141937618E-009   0.108294041E-037
   0.32032000142623307E-009   0.139203686E-037
   0.32186000143308996E-009   0.178858681E-037
   0.32340000143994685E-009   0.229711480E-037
   0.32494000144680374E-009   0.294895975E-037
   0.32648000145366063E-009   0.378414933E-037
   0.32802000146051752E-009   0.485379240E-037
   0.32956000146737441E-009   0.622311323E-037
   0.33110000147423130E-009   0.797531196E-037
   0.33264000148108819E-009   0.102164826E-036
   0.33418000148794508E-009   0.130818386E-036
   0.33572000149480197E-009   0.167436400E-036
   0.33726000150165886E-009   0.214212505E-036
   0.33880000150851575E-009   0.273938761E-036
   0.34034000151537264E-009   0.350167693E-036
   0.34188000152222953E-009   0.447417156E-036
   0.34342000152908642E-009   0.571430277E-036
   0.34496000153594331E-009   0.729504411E-036
   0.34650000154280020E-009   0.930907816E-036
   0.34804000154965709E-009   0.118740687E-035
   0.34958000155651398E-009   0.151393327E-035
   0.35112000156337086E-009   0.192942647E-035
   0.35266000157022775E-009   0.245789849E-035
   0.35420000157708464E-009   0.312978205E-035
   0.35574000158394153E-009   0.398362796E-035
   0.35728000159079842E-009   0.506824785E-035
   0.35882000159765531E-009   0.644542408E-035
   0.36036000160451220E-009   0.819331975E-035
   0.36190000161136909E-009   0.104107710E-034
   0.36344000161822598E-009   0.132227144E-034
   0.36498000162508287E-009   0.167870006E-034
   0.36652000163193976E-009   0.213029882E-034
   0.36806000163879665E-009   0.270223278E-034
   0.36960000164565354E-009   0.342625781E-034
   0.37114000165251043E-009   0.434242479E-034
   0.37268000165936732E-009   0.550122861E-034
   0.37422000166622421E-009   0.696629980E-034
   0.37576000167308110E-009   0.881779065E-034
   0.37730000167993799E-009   0.111566215E-033
   0.37884000168679488E-009   0.141098019E-033
   0.38038000169365177E-009   0.178371120E-033
   0.38192000170050866E-009   0.225394659E-033
   0.38346000170736555E-009   0.284693849E-033
   0.38500000171422244E-009   0.359441400E-033
   0.38654000172107933E-009   0.453621709E-033
   0.38808000172793622E-009   0.572235885E-033
   0.38962000173479311E-009   0.721559391E-033
   0.39116000174165000E-009   0.909462990E-033
   0.39270000174850689E-009   0.114581266E-032
   0.39424000175536378E-009   0.144297295E-032
   0.39578000176222067E-009   0.181643026E-032
   0.39732000176907756E-009   0.228557428E-032
   0.39886000177593445E-009   0.287466960E-032
   0.40040000178279134E-009   0.361407134E-032
   0.40194000178964823E-009   0.454173438E-032
   0.40348000179650512E-009   0.570509726E-032
   0.40502000180336201E-009   0.716342290E-032
   0.40656000181021890E-009   0.899072446E-032
   0.40810000181707579E-009   0.112793782E-031
   0.40964000182393268E-009   0.141446471E-031
   0.41118000183078957E-009   0.177302869E-031
   0.41272000183764646E-009   0.222154958E-031
   0.41426000184450334E-009   0.278235810E-031
   0.41580000185136023E-009   0.348326747E-031
   0.41734000185821712E-009   0.435890526E-031
   0.41888000186507401E-009   0.545236598E-031
   0.42042000187193090E-009   0.681725598E-031
   0.42196000187878779E-009   0.852022756E-031
   0.42350000188564468E-009   0.106441249E-030
   0.42504000189250157E-009   0.132918624E-030
   0.42658000189935846E-009   0.165912470E-030
   0.42812000190621535E-009   0.207009187E-030
   0.42966000191307224E-009   0.258176928E-030
   0.43120000191992913E-009   0.321856983E-030
   0.43274000192678602E-009   0.401075193E-030
   0.43428000193364291E-009   0.499581432E-030
   0.43582000194049980E-009   0.622020218E-030
   0.43736000194735669E-009   0.774141694E-030
   0.43890000195421358E-009   0.963062021E-030
   0.44044000196107047E-009   0.119758368E-029
   0.44198000196792736E-009   0.148859141E-029
   0.44352000197478425E-009   0.184953748E-029
   0.44506000198164114E-009   0.229704197E-029
   0.44660000198849803E-009   0.285162780E-029
   0.44814000199535492E-009   0.353862882E-029
   0.44968000200221181E-009   0.438930155E-029
